Row Number,Company,Position Name,Location,Status,Job Description,Application Link,Number of Applicants,Industry,Salary
906,Bayer,Analytical Development Intern,"Morristown, NJ",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/analytical-development-intern-at-bayer-3710099240?refId=AHcn1VW%2B6nLBzS0BYA5Jng%3D%3D&trackingId=NUQMjIrALsECeka7pVIqQA%3D%3D&position=12&pageNum=36&trk=public_jobs_jserp-result_search-card,,,0
907,Chubb,2024 Technology Intern,"Philadelphia, PA",Be an early applicant,"Job Description

Chubb is a global leader in the insurance industry and provides an extensive suite of products to a wide range of clients. Delivering superior coverage, craftsmanship, and customer experience has always been at our core, and will continue to be as we modernize what insurance does and how we deliver it, all while protecting what our customers value most. Major initiatives are underway at Chubb to build on our strengths and expand Chubb’s reach in the digital insurance space. This means data-enriched processes and real-time insights embedded across our value chain, design thinking and an “engineers of everything” mentality, and a world-class customer experience that sets us apart. We are also reimagining our ways of working to be more adaptable and flexible through agile principles and investing in skillset development and tools for a digital age.

Chubb is looking for individuals passionate about technology to join our Technology Associate Summer Internship Program. This program provides you the opportunity to gain hands-on technical experience working on real business projects and programs. At the same time, you will develop leadership and communication skills, enhance your technical acumen, and grow your knowledge of the insurance industry. Our Technology Department consists of a number of disciplines where we will have internship opportunities including:


The summer internship will run from June through August. It will provide the opportunity to participate in one of the above disciplines and gain an awareness of the systems, projects, and technologies in a corporate technology organization.








Chubb is the world’s largest publicly traded property and casualty insurer. With operations in 54 countries, Chubb provides commercial and personal property and casualty insurance, personal accident and supplemental health insurance, reinsurance, and life insurance to a diverse group of clients. The company is distinguished by its extensive product and service offerings, broad distribution capabilities, exceptional financial strength, underwriting excellence, superior claims handling expertise and local operations globally.

At Chubb, we are committed to equal employment opportunity and compliance with all laws and regulations pertaining to it. Our policy is to provide employment, training, compensation, promotion, and other conditions or opportunities of employment, without regard to race, color, religious creed, sex, gender, gender identity, gender expression, sexual orientation, marital status, national origin, ancestry, mental and physical disability, medical condition, genetic information, military and veteran status, age, and pregnancy or any other characteristic protected by law. Performance and qualifications are the only basis upon which we hire, assign, promote, compensate, develop and retain employees. Chubb prohibits all unlawful discrimination, harassment and retaliation against any individual who reports discrimination or harassment.
Show more",https://www.linkedin.com/jobs/view/2024-technology-intern-at-chubb-3734601737?refId=AHcn1VW%2B6nLBzS0BYA5Jng%3D%3D&trackingId=YXcRlPlhVBdgzU5KmcAi2Q%3D%3D&position=13&pageNum=36&trk=public_jobs_jserp-result_search-card,25,"Industries
Insurance",0
908,Pekin Insurance,Actuarial Analyst Intern- Onsite/ Hybrid,"Pekin, IL",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/actuarial-analyst-intern-onsite-hybrid-at-pekin-insurance-3719549005?refId=AHcn1VW%2B6nLBzS0BYA5Jng%3D%3D&trackingId=n3ZvmtRIAG%2FGxg3UwWBFtA%3D%3D&position=14&pageNum=36&trk=public_jobs_jserp-result_search-card,,,0
909,The Applied Research Laboratory at Penn State University,Undergraduate/Graduate Research Intern,"University Park, PA",Be an early applicant,"APPLICATION INSTRUCTIONS:

CURRENT PENN STATE EMPLOYEE (faculty, staff, technical service, or student), please login to Workday to complete the internal application process. Please do not apply here, apply internally through Workday.


The Undersea Systems Office at the Applied Research Laboratory (ARL) is seeking several highly motivated undergraduate and graduate students for research opportunities. These positions cover a broad range of academic and engineering disciplines in all aspects of undersea vehicle development.



The successful candidates will work 40 hours/week over the summer and 20 hours/week during the fall and spring semesters.

Students in their junior or senior year majoring in Mechanical Engineering, Electrical Engineering, Math, Computer Science, Physics or related degree are encouraged to apply.

. Applicants selected will be subject to a government security investigation. Employment with the Applied Research Laboratory will require successful completion of a pre-employment drug screen.


Pursuant to the Jeanne Clery Disclosure of Campus Security Policy and Campus Crime Statistics Act and the Pennsylvania Act of 1988, Penn State publishes a combined Annual Security and Annual Fire Safety Report (ASR). The ASR includes crime statistics and institutional policies concerning campus security, such as those concerning alcohol and drug use, crime prevention, the reporting of crimes, sexual assault, and other matters. The ASR is available for review here.

Employment with the University will require successful completion of background check(s) in accordance with University policies.


Penn State is an equal opportunity, affirmative action employer, and is committed to providing employment opportunities to all qualified applicants without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability or protected veteran status. If you are unable to use our online application process due to an impairment or disability, please contact 814-865-1473.

Federal Contractors Labor Law Poster

PA State Labor Law Poster

Affirmative Action

Penn State Policies

Copyright Information

Hotlines

University Park, PA
Show more",https://www.linkedin.com/jobs/view/undergraduate-graduate-research-intern-at-the-applied-research-laboratory-at-penn-state-university-3642514606?refId=AHcn1VW%2B6nLBzS0BYA5Jng%3D%3D&trackingId=EctjTHoKEYk8LwaPnTrBUg%3D%3D&position=15&pageNum=36&trk=public_jobs_jserp-result_search-card,25,"Industries
Government Administration",0
910,Navy Federal Credit Union,Summer Associate Internship (Analytics Engineer),"Vienna, VA",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/summer-associate-internship-analytics-engineer-at-navy-federal-credit-union-3718425606?refId=AHcn1VW%2B6nLBzS0BYA5Jng%3D%3D&trackingId=tibxFzMAmgnS4AuhPlbHSA%3D%3D&position=16&pageNum=36&trk=public_jobs_jserp-result_search-card,,,0
911,Straumann Group,Process Improvement Intern,"Massachusetts, United States",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/process-improvement-intern-at-straumann-group-3725171746?refId=AHcn1VW%2B6nLBzS0BYA5Jng%3D%3D&trackingId=jqYzBiERGhAOVJpMt6iYrA%3D%3D&position=17&pageNum=36&trk=public_jobs_jserp-result_search-card,,,0
912,The Cadmus Group,Cadmus 2023/2024 Internship Program (Paid),"Arlington, VA",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/cadmus-2023-2024-internship-program-paid-at-the-cadmus-group-3725512705?refId=AHcn1VW%2B6nLBzS0BYA5Jng%3D%3D&trackingId=aj3Rq4df4fUrFh8%2FBLrx%2Bw%3D%3D&position=18&pageNum=36&trk=public_jobs_jserp-result_search-card,,,0
913,Navy Federal Credit Union,Summer Associate Internship (Data Scientist - Real Estate Lending),"Pensacola, FL",Actively Hiring,"Overview

REL Predictive Analytics exists to propel NFCU’s data-driven decision-making culture by providing accurate and trustworthy forecasts to its stakeholders, thus providing actionable insights that impact our members, employees, and business performance. The Summer Associate will come alongside the Data Scientists to improve existing analysis, forecasting architectures, and dashboards. The Summer Associate will help further the strategic goals and initiatives of the Predictive Analytics Team while developing strong technical, analytical, interpersonal, and critical thinking skills.








Monday – Friday 8:00AM - 4:30PM

820 Follin Lane, Vienna, VA 22180 | 5550 Heritage Oaks Dr Pensacola, FL 32526

Navy Federal is now hybrid! Our standard enterprise requirement for a hybrid schedule is to report onsite 4-16 days each month. The number of days reporting onsite will ultimately be determined by the employee's leadership and business unit needs. You will learn more throughout the hiring and onboarding process.


You have goals, dreams, hobbies, and things you're passionate about—what's important to you is important to us. We're looking for people who not only want to do meaningful, challenging work, keep their skills sharp and move ahead, but who also take time for the things that matter to them—friends, family, and passions. And we're looking for team members who are passionate about our mission—making a difference in military members' and their families' lives. Together, we can make it happen. Don't take our word for it:


Equal Employment Opportunity: Navy Federal values, celebrates, and enacts diversity in the workplace. Navy Federal takes affirmative action to employ and advance in employment qualified individuals with disabilities, disabled veterans, Armed Forces service medal veterans, recently separated veterans, and other protected veterans. EOE/AA/M/F/Veteran/Disability EOE/AA/M/F/Veteran/Disability

Disclaimers: Navy Federal reserves the right to fill this role at a higher/lower grade level based on business need. An assessment may be required to compete for this position. Job postings are subject to close early or extend out longer than the anticipated closing date at the hiring team’s discretion based on qualified applicant volume. Navy Federal Credit Union assesses market data to establish salary ranges that enable us to remain competitive. You are paid within the salary range, based on your experience, location and market position

Bank Secrecy Act: Remains cognizant of and adheres to Navy Federal policies and procedures, and regulations pertaining to the Bank Secrecy Act.
Show more",https://www.linkedin.com/jobs/view/summer-associate-internship-data-scientist-real-estate-lending-at-navy-federal-credit-union-3715346410?refId=AHcn1VW%2B6nLBzS0BYA5Jng%3D%3D&trackingId=7MaMeDgBT7uj6d8G3z4L1w%3D%3D&position=19&pageNum=36&trk=public_jobs_jserp-result_search-card,32,"Industries
Financial Services",0
914,Advocate Construction,Advocate Construction Internship Program,"Glen Ellyn, IL",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/advocate-construction-internship-program-at-advocate-construction-3695002135?refId=AHcn1VW%2B6nLBzS0BYA5Jng%3D%3D&trackingId=JuAJPcu3%2BkrTTI%2FesO7BUg%3D%3D&position=20&pageNum=36&trk=public_jobs_jserp-result_search-card,,,0
915,Lockheed Martin,Supply Chain Intern,"Moorestown, NJ",Be an early applicant,"Description:Lockheed Martin Rotary Mission Systems is looking for interns to join our creative team of Supply chain professionals. Lockheed Martin is the world’s largest defense contractor, with a supply chain made up of thousands of suppliers of all different sizes and technologies. Our interns will work with this expansive supplier network, and interface daily with programs and engineering to generate complex customer solutions. The interns hired for this position should expect to learn all facets of Supply Chain, and will leave with a large network, invaluable skills, and significant industry knowledge.


Candidates should be pursuing an accredited degree in Supply Chain, Business, Industrial Engineering or similar technical major, or Finance.


Applicants should have a strong desire to become Supply Chain professionals, with proficiency in MS Office and data analysis/reporting tools. Applicants need to work well with numbers, data, and units of measure. Organization skills, attention to detail, effective communication skills (written and oral), and ability to multitask in a dynamic environment are a must.

None


By applying to this job, you are expressing interest in this position and could be considered for other career opportunities where similar skills and requirements have been identified as a match. Should this match be identified you may be contacted for this and future openings.

Part-time Remote Telework: The employee selected for this position will work part of their work schedule remotely and part of their work schedule at a designated Lockheed Martin facility. The specific weekly schedule will be discussed during the hiring process.

Lockheed Martin supports a variety of alternate work schedules that provide additional flexibility to our employees. Schedules range from standard 40 hours over a five day work week while others may be condensed. These condensed schedules provide employees with additional time away from the office and are in addition to our Paid Time off benefits.

4x10 hour day, 3 days off per week


At Lockheed Martin, we use our passion for purposeful innovation to help keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work.

With our employees as our priority, we provide diverse career opportunities designed to propel, develop, and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work. We place an emphasis on empowering our employees by fostering an inclusive environment built upon integrity and corporate responsibility.

If this sounds like a culture you connect with, you’re invited to apply for this role. Or, if you are unsure whether your experience aligns with the requirements of this position, we encourage you to search on Lockheed Martin Jobs, and apply for roles that align with your qualifications.

Co-op/Summer Intern

RMS

Possible

Purchasing/Procurement/Supply Chain

Part-Time

First
Show more",https://www.linkedin.com/jobs/view/supply-chain-intern-at-lockheed-martin-3729084273?refId=AHcn1VW%2B6nLBzS0BYA5Jng%3D%3D&trackingId=jvNKf93LS%2BcWYSlZqvceug%3D%3D&position=21&pageNum=36&trk=public_jobs_jserp-result_search-card,25,"Industries
Defense and Space Manufacturing",0
